Data di inserimento,Termine,Accento,Definizione,"Sinonimi (facoltativo, separa con ;)","Contrari (facoltativo, separa con ;)",Etimologia,Esempio 1,Esempio 2,Esempio 3,Frequenza d'uso,Linguaggio tecnico,Errori,APPRESO
,Discettare,discettàre,Discutere o trattare un argomento con dottrina e minuziosità (spesso ironico).,Disquisire; argomentare; dissertare; ragionare,Tacere; sorvolare; ignorare,"Derivato dal latino ""disceptare"".",Amano discettare di politica per ore.,Stavano discettando sui massimi sistemi.,Discettare di filosofia al bar.,Bassa,Letterario / Ironico,Discetare (una t),No
,Disgiuntivo,disgiuntìvo,Che serve a disgiungere o separare; che pone un'alternativa.,Separativo; alternativo; esclusivo,Copulativo; congiuntivo; unitivo,"Derivato dal latino ""disiunctivus"".","Congiunzione disgiuntiva (""o"").",Valore disgiuntivo.,Ragionamento disgiuntivo.,Bassa,Grammatica / Logica,Nessuno,No
,Dissidio,dissìdio,"Contrasto profondo, disaccordo, conflitto (interiore o tra persone).",Contrasto; disaccordo; divergenza; conflitto,Accordo; intesa; armonia; pace,"Derivato dal latino ""dissidium"".",Dissidio tra dovere e passione.,Sanare i dissidi familiari.,Dissidi politici interni al partito.,Media,Letterario / Comune,Nessuno,No
,Divellere,divèllere,"Strappare via con forza, sradicare.",Sradicare; strappare; estirpare; scardinare,Piantare; fissare; radicare; consolidare,"Derivato dal latino ""divellere"".",Il vento ha divelto il tetto.,Divellere le erbacce.,Segnale stradale divelto dall'auto.,Bassa,Comune,Divelvere (errato),No
,Doglianze,dogliànze,"Lamentele, rimostranze; espressioni di dolore o condoglianze.",Lamentele; reclami; rimostranze; condoglianze,Ringraziamenti; elogi; felicitazioni,"Derivato da ""doglia"" (dolore).",Presentare le proprie doglianze.,Ascoltare le doglianze dei clienti.,Lettera di doglianze.,Bassa,Burocratico / Formale,Nessuno,No
,Duttile,dùttile,"Che si può ridurre in fili (metallo); figurato: adattabile, flessibile.",Flessibile; malleabile; plasmabile; adattabile,Rigido; duro; fragile; inflessibile,"Derivato dal latino ""ductilis"" (che si può condurre).",L'oro è un metallo molto duttile.,Una mente duttile e aperta.,Materiale duttile.,Media,Tecnico / Figurato,Dutile (una t),No
,Ecatombe,ecatómbe,"Strage, massacro di grandi proporzioni; disastro collettivo.",Strage; massacro; carneficina; sterminio,Salvezza; sopravvivenza,"Dal greco ""hekatombe"" (sacrificio di 100 buoi).",La guerra fu un'inutile ecatombe.,L'esame è stato un'ecatombe (molti bocciati).,Evitare l'ecatombe nucleare.,Media,Giornalistico / Storico,Nessuno,No
,Eccellente,eccellènte,"Che spicca per qualità, ottimo, di qualità superiore.",Ottimo; squisito; magnifico; pregevole,Pessimo; scadente; mediocre; terribile,"Participio presente di ""eccellere"".",Un risultato eccellente.,Cibo eccellente.,È un'eccellente opportunità.,Alta,Comune,Eccelente (una l),No
,Eccelso,eccèlso,"Altissimo, sommo, sublime (spesso riferito a Dio o all'arte).",Sommo; sublime; supremo; altissimo,Infimo; basso; mediocre; vile,"Derivato dal latino ""excelsus"".","L'Onnipotente, l'Eccelso.",Mente eccelsa.,Raggiungere vette eccelse di poesia.,Bassa,Letterario / Religioso,Nessuno,No
,Ecdotica,ecdòtica,Scienza che studia la ricostruzione critica dei testi antichi (filologia).,Critica testuale; filologia,-,"Derivato dal greco ""ekdotos"" (edito).",L'ecdotica permette di risalire all'originale.,Problemi di ecdotica dantesca.,Manuale di ecdotica.,Molto bassa,Filologia,Nessuno,No
,Ecfrasi,ècfrasi,Descrizione verbale vivida di un'opera d'arte visiva.,Descrizione vivida (di opera d'arte),-,"Derivato dal greco ""ekphrasis"".",L'ecfrasi dello scudo di Achille nell'Iliade.,Esercizio retorico di ecfrasi.,La poesia è un'ecfrasi del quadro.,Molto bassa,Retorica / Storia dell'arte,Nessuno,No
,Ecletticità,ecletticità,La caratteristica di chi seleziona e combina elementi da diverse fonti o dottrine.,Versatilità; poliedricità; varietà,Unilateralità; dogmatismo; rigidità,"Derivato da ""eclettico"".",L'ecletticità dei suoi interessi è notevole.,Apprezzare l'ecletticità dell'artista.,Mancanza di coerenza o semplice ecletticità?,Bassa,Colto,Ecleticità (una t),No
,Eclettico,eclèttico,"Che sceglie e mescola elementi di diverse dottrine, stili o provenienze.",Versatile; poliedrico; vario; composito,Dogmatico; unilaterale; rigido; esclusivo,"Derivato dal greco ""eklektikos"" (che sceglie).",Un arredamento eclettico.,Gusto musicale eclettico.,Filosofo eclettico.,Media,Arte / Comune,Ecletico (una t),No
,Eclettismo,eclèttismo,Tendenza a combinare principi o stili diversi.,Tendenza a conciliare; sincretismo,Purismo; integralismo,"Derivato da ""eclettico"".",L'eclettismo dell'architettura dell'800.,Cadere in un superficiale eclettismo.,Eclettismo filosofico.,Bassa,Arte / Filosofia,Nessuno,No
,Eclittica,eclìttica,Il percorso apparente del Sole nella sfera celeste durante l'anno.,-,-,"Derivato dal greco ""ekleiptikos"" (relativo all'eclissi).",L'eclittica attraversa le costellazioni dello zodiaco.,Inclinazione dell'eclittica.,Piano dell'eclittica.,Bassa,Astronomia,Nessuno,No
,Ecumenico,ecumènico,"Universale, che riguarda tutta la terra abitata (o tutta la Chiesa).",Universale; generale; cattolico (in senso greco),Particolare; locale; settario; scismatico,"Derivato dal greco ""oikoumene"" (terra abitata).",Concilio ecumenico.,Spirito ecumenico di dialogo tra religioni.,Valore ecumenico.,Bassa,Religioso,Nessuno,No
,Effimero,effìmero,"Che dura poco, passeggero, di breve durata.",Passeggero; caduco; fugace; momentaneo,Eterno; duraturo; perenne; immortale,"Derivato dal greco ""ephemeros"" (di un giorno).",La bellezza è un bene effimero.,Il successo può essere effimero.,Insetti effimeri che vivono poche ore.,Media,Comune,Efimero (una f),No
,Effondere,effóndere,"Versare fuori, spargere (profumo, luce, sentimenti).",Spargere; emanare; diffondere; riversare,Trattenere; contenere; reprimere,"Derivato dal latino ""effundere"".",Effondere un dolce profumo nell'aria.,Effondere il proprio cuore a un amico.,La luce si effondeva nella stanza.,Bassa,Letterario,Nessuno,No
,Einsteinio,einstèinio,"Elemento chimico artificiale radioattivo (simbolo Es, numero 99).",-,-,Dal nome del fisico Albert Einstein.,L'einsteinio fu scoperto dopo un test nucleare.,Isotopi dell'einsteinio.,Produzione di einsteinio in laboratorio.,Molto bassa,Chimica,Nessuno,No
,Elegia,elegìa,Componimento poetico di tono malinconico e lamentoso.,Compianto; lamento; poesia malinconica,Inno; peana; epinicio,"Derivato dal greco ""elegeia"".",Scrivere un'elegia per l'amico scomparso.,Le elegie romane di Goethe.,Tono di triste elegia.,Bassa,Letteratura,Nessuno,No
,Elicitare,elicitàre,"Stimolare, far emergere, ottenere (risposte, comportamenti).",Stimolare; provocare; estrarre; ottenere,Inibire; reprimere; bloccare,"Dal latino ""elicitare"" o inglese ""elicit"".",Elicitare una risposta dal paziente.,Il test serve a elicitare reazioni emotive.,Elicitare il fabbisogno del cliente.,Bassa,Psicologia / Marketing,Nessuno,No
,Eliso,elìso,Soppresso mediante elisione; (mitologia) Campi Elisi.,Cancellato; soppresso; annullato,Mantenuto; conservato; intero,"Participio passato di ""elidere"".",La vocale finale viene elisa.,Soggetto eliso (sottinteso).,Passeggiare nei Campi Elisi (paradiso pagano).,Bassa,Grammatica / Mitologia,Nessuno,No
,Eloquio,elòquio,"Modo di parlare, facondia; discorso.",Parlata; linguaggio; modo di esprimersi,Mutismo; silenzio; afasia,"Derivato dal latino ""eloquium"".",Ammirare l'eloquio forbito dell'oratore.,Avere un eloquio sciolto.,Eloquio confuso.,Bassa,Formale,Nessuno,No
,Emanazione,emanazióne,L'atto di emanare (provenire da); cosa che proviene da un'altra.,Emissione; esalazione; derivazione; prodotto,Fonte; origine; causa,"Derivato dal latino ""emanatio"".",Il decreto è emanazione del governo.,Emanazioni gassose dal vulcano.,La polizia è un'emanazione dello Stato.,Bassa,Burocratico / Scientifico,Nessuno,No
,Emanciparsi,emancipàrsi,Liberarsi da una sottomissione o tutela; rendersi autonomo.,Liberarsi; affrancarsi; rendersi autonomo,Sottomettersi; assoggettarsi; dipendere,"Derivato dal latino ""emancipare"" (liberare dalla patria potestà).",Emanciparsi dalla famiglia.,Le donne hanno lottato per emanciparsi.,Emanciparsi dai pregiudizi.,Media,Sociologia / Comune,Nessuno,No
,Emiro,emìro,Titolo nobiliare o sovrano nei paesi musulmani (comandante).,Principe; governante; comandante,Suddito,"Dall'arabo ""amīr"".",L'emiro del Kuwait.,Il palazzo dell'emiro.,Gli Emirati Arabi Uniti.,Bassa,Politico / Storico,Nessuno,No
,Emolumento,emoluménto,"Compenso, retribuzione per una prestazione professionale o carica (spesso plurale).",Compenso; retribuzione; onorario; stipendio,-,"Derivato dal latino ""emolumentum"" (guadagno dalla macinatura).",Percepire lauti emolumenti.,Gli emolumenti dei parlamentari.,Emolumento accessorio.,Bassa,Burocratico / Amministrativo,Emonumenti al posto di Emolumenti,No
,Empio,émpio,"Che disprezza la religione, sacrilego; malvagio, spietato.",Sacrilego; irreligioso; malvagio; scellerato,Pio; devoto; santo; religioso,"Derivato dal latino ""impius"".",Un atto empio contro la divinità.,Uomo empio e crudele.,La stirpe degli empi.,Bassa,Religioso / Letterario,Nessuno,No
,Energumeno,energùmeno,"Persona scalmanata, violenta, fuori di sé.",Forsennato; scalmanato; violento; ossesso,Persona calma; placido; tranquillo,"Derivato dal greco ""energoumenos"" (posseduto dal demonio).",Un energumeno ha aggredito l'arbitro.,Urlava come un energumeno.,Calmare quell'energumeno.,Media,Comune,Nessuno,No
,Epigono,epìgono,Seguace o imitatore di un maestro o di un movimento (spesso senza originalità).,Imitatore; seguace; discepolo (mediocre),Maestro; caposcuola; innovatore; precursore,"Derivato dal greco ""epigonos"" (nato dopo).",Gli epigoni del Manzoni.,Un mediocre epigono della scuola pittorica.,L'opera degli epigoni.,Bassa,Letterario / Arte,Nessuno,No
,Epigrafe,epìgrafe,Iscrizione incisa su pietra o metallo (lapide); citazione all'inizio di un libro.,Iscrizione; dedica; targa,-,"Derivato dal greco ""epigraphe"".",Leggere l'epigrafe sulla tomba.,L'epigrafe commemorativa sul monumento.,Il romanzo inizia con un'epigrafe di Shakespeare.,Bassa,Archeologia / Letteratura,Nessuno,No
,Epigramma,epigràmma,"Breve componimento poetico di tono arguto, satirico o mordace.",Motto; satira; frecciata; battuta,Panegirico; elogio,"Derivato dal greco ""epigramma"" (iscrizione).",Scrivere un epigramma contro i politici.,Gli epigrammi di Marziale.,Rispondere con un epigramma sferzante.,Bassa,Letteratura,Nessuno,No
,Epistemico,epistèmico,Relativo alla conoscenza o al sapere scientifico (episteme).,Conoscitivo; scientifico; relativo al sapere,Opinabile; doastico,"Derivato dal greco ""episteme"" (conoscenza).",Valore epistemico di una teoria.,Incertezza epistemica.,Comunità epistemica.,Molto bassa,Filosofia / Scienza,Nessuno,No
,Epitome,epìtome,"Compendio, riassunto di un'opera più ampia; esempio perfetto di qualcosa.",Compendio; riassunto; sintesi; personificazione,Opera completa; estensione; antitesi,"Derivato dal greco ""epitome"" (taglio in breve).",Un'epitome di storia romana.,Lui è l'epitome dell'eleganza.,Leggere l'epitome invece del libro intero.,Bassa,Letterario / Colto,Nessuno,No
,Eponimo,epònimo,"Che dà il proprio nome a qualcosa (città, popolo, malattia, periodo).",Che dà il nome,-,"Derivato dal greco ""eponymos"".",Atena è la dea eponima di Atene.,L'eroe eponimo della tribù.,"Morbo di Parkinson (da Parkinson, eponimo).",Bassa,Storico / Medico,Nessuno,No
,Equipollente,equipollènte,"Di valore, efficacia o significato uguale (equivalente).",Equivalente; uguale; pari; corrispondente,Diverso; differente; diseguale,"Derivato dal latino ""aequipollens"".",Titolo di studio equipollente alla laurea.,Termini equipollenti.,Documento equipollente al passaporto.,Bassa,Burocratico / Giuridico,Equipolente (una l),No
,Erinni,erìnni,"Nelle mitologia greca, le dee della vendetta (Furie); figurato: donna furiosa.",Furia; megera; (fig) donna collerica,Grazia; benevolenza,"Dal greco ""Erinys"".",Perseguitato dalle Erinni.,Sembrava un'Erinni scatenata.,Scatenare le Erinni.,Molto bassa,Mitologia / Letterario,Nessuno,No
,Eristico,erìstico,"Relativo all'arte della controversia fine a se stessa (per vincere, non per la verità).",Capzioso; sofistico; polemico,Dimostrativo; apodittico; pacifico,"Derivato dal greco ""eris"" (contesa).",Abilità eristica dei sofisti.,Ragionamento eristico e ingannevole.,Arte eristica.,Molto bassa,Filosofia,Nessuno,No
,Ermeneutica,ermenèutica,"L'arte e la tecnica dell'interpretazione (di testi antichi, sacri, leggi).",Interpretazione; esegesi; arte interpretativa,-,"Derivato dal greco ""hermeneutike"".",L'ermeneutica biblica.,Ermeneutica giuridica.,Il circolo ermeneutico.,Bassa,Filosofia / Teologia,Nessuno,No
,Ermeneutico,ermenèutico,Che riguarda l'arte e la tecnica dell'interpretazione dei testi.,Interpretativo; esplicativo,-,Vedi Ermeneutica.,Approccio ermeneutico al testo.,Problema ermeneutico.,Strumenti ermeneutici.,Bassa,Filosofia,Nessuno,No
,Ermetismo,ermetìsmo,"Corrente poetica del '900 (oscurità, analogia); dottrina esoterica; chiusura.",Oscurità; chiusura; esoterismo,Chiarezza; trasparenza; essoterismo,Da Ermete Trismegisto (dio/mago).,Ungaretti e l'ermetismo.,L'ermetismo dei suoi scritti li rende incomprensibili.,Chiusura ermetica (senso letterale).,Media,Letteratura,Nessuno,No
,Erumna,erùmna,"Affanno, grave disagio, sventura, miseria.",Sventura; disgrazia; calamità; miseria,Felicità; fortuna; prosperità; benessere,"Dal latino ""aerumna"".",Sopportare le erumne della vita.,Un'esistenza piena di erumne.,Termine desueto e ricercato.,Molto bassa,Arcaico / Letterario,Nessuno,No
,Esalogia,esalogìa,Insieme di sei opere letterarie o cinematografiche collegate tra loro.,Ciclo di sei opere; esalogia,-,"Composto da ""esa-"" (sei) e ""logia"".",L'autore ha concluso l'esalogia fantasy.,È il terzo capitolo dell'esalogia.,Progettare un'esalogia.,Molto bassa,Letteratura / Cinema,Nessuno,No
,Escatologico,escatològico,Che riguarda i destini ultimi dell'uomo e dell'universo (fine del mondo).,Finale; ultimo; profetico; apocalittico,Iniziale; primordiale,"Derivato dal greco ""eschatos"" (ultimo).",Visione escatologica della storia.,Attesa escatologica.,Discorso escatologico.,Bassa,Teologia / Filosofia,Nessuno,No
,Esecrazione,esecrazióne,"Orrore profondo, condanna morale assoluta; imprecazione.",Abominio; orrore; maledizione; condanna,Benedizione; adorazione; venerazione; lode,"Derivato dal latino ""exsecratio"".",L'esecrazione universale per il crimine commesso.,Oggetto di pubblica esecrazione.,Pronunciare parole di esecrazione.,Bassa,Letterario,Nessuno,No
,Esegesi,esegèsi,Interpretazione critica e spiegazione di un testo (specie sacro).,Interpretazione; spiegazione; commento critico,Testo originale; oscurità,"Derivato dal greco ""exegesis"" (spiegazione).",Fare l'esegesi di un passo del Vangelo.,Esegesi storica.,Un'esegesi puntuale e rigorosa.,Bassa,Filologia / Teologia,Nessuno,No
,Esercente,esercènte,Chi esercita un'attività commerciale o professionale; negoziante.,Negoziante; gestore; commerciante; operatore,Cliente; acquirente; utente,"Participio presente di ""esercitare"".",L'esercente ha diritto di rifiutare il servizio.,Associazione degli esercenti.,Esercente la patria potestà (giuridico).,Media,Commerciale / Giuridico,Nessuno,No
,Esergo,esèrgo,Spazio sulla moneta per la data/zecca; citazione iniziale di un libro (epigrafe).,Iscrizione; motto; citazione iniziale,-,"Derivato dal greco ""ex"" (fuori) e ""ergon"" (opera).",La data è riportata nell'esergo della moneta.,Porre una frase in esergo al capitolo.,Leggere l'esergo.,Molto bassa,Numismatica / Editoria,Nessuno,No
,Esiziale,esiziàle,"Che reca grave danno, rovinoso, mortale, fatale.",Mortale; rovinoso; fatale; dannosissimo,Salutare; benefico; vitale; innocuo,"Derivato dal latino ""exitium"" (rovina/morte).",Un errore esiziale per la sua carriera.,Malattia esiziale.,L'esito fu esiziale per l'esercito.,Bassa,Letterario,Nessuno,No
,Espunto,espùnto,"Cancellato, eliminato (da un testo o una lista).",Cancellato; eliminato; rimosso; depennato,Inserito; aggiunto; mantenuto,"Participio passato di ""espungere"".",Il brano è stato espunto dalla versione finale.,Espunto dall'elenco dei soci.,Parole espunte.,Bassa,Filologia / Burocratico,Nessuno,No
,Estensivamente,estensivaménte,"In modo esteso, ampio; per estensione.",In largo; ampiamente; diffusamente,Restrittivamente; limitatamente; in breve,"Avverbio da ""estensivo"".",Interpretare la legge estensivamente.,Coltivare il terreno estensivamente (non intensivamente).,Trattare l'argomento estensivamente.,Bassa,Giuridico / Agricolo,Nessuno,No
